user,tag hovered,tag clicked,tag dropped,multiple tags dropped,tag weight changed,tag deleted,document clicked,document bookmarked,document unbookmarked,document watched,document unwatched,frequency range changed,keyword searched,reset,IP logged,topic selected
user_01,125,3,3,0,1,0,1,0,0,0,0,0,0,0,1,1
user_02,350,9,4,0,10,0,90,10,0,0,0,41,0,0,1,1
user_03,31,1,0,1,0,0,3,0,0,10,0,0,0,0,1,1
user_04,191,5,3,1,1,3,38,0,0,0,0,0,0,0,1,2
user_05,60,2,3,0,3,0,27,5,0,0,0,0,0,0,1,1
user_06,198,2,9,0,23,3,332,7,0,5,1,303,4,0,1,1
user_07,193,4,9,1,14,2,353,9,0,1,1,0,0,0,1,1
user_08,91,3,1,1,2,0,34,6,0,1,0,0,0,0,1,1
user_09,232,2,6,0,2,0,3,0,0,0,0,20,2,0,1,2
user_10,59,1,1,1,1,0,4,3,0,2,0,0,0,0,1,1
user_11,144,2,6,0,4,0,71,6,0,0,0,0,0,0,1,1
user_12,62,1,5,0,2,0,87,5,0,1,0,0,0,0,1,1
user_13,92,3,8,0,3,6,34,3,0,1,0,0,0,0,1,1
user_14,206,1,7,0,0,3,100,9,1,3,0,0,0,0,1,1
user_15,50,2,3,0,0,0,5,6,0,0,0,0,0,0,1,1
user_16,77,1,3,0,0,1,15,5,0,1,1,117,0,0,1,1
total,2161,42,71,5,66,18,1197,74,1,25,3,481,6,0,16,18
mean,135.06,2.63,4.44,0.31,4.13,1.13,74.81,4.63,0.06,1.56,0.19,30.06,0.38,0,1,1.13
std,86.89,2.06,2.83,0.48,6.33,1.78,109.78,3.36,0.25,2.63,0.4,78.79,1.09,0,0,0.34
